"panel","item","value"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake trout vs ciscoes","3"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake trout vs sculpins","5"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake trout vs walleye","3"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake trout vs yellow perch","3"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake trout vs black bass (SMB/LMB)","5"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake trout vs threatened and endangered species","0.142857142857143"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake whitefish vs ciscoes","3"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake whitefish vs sculpins","5"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake whitefish vs walleye","3"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake whitefish vs yellow perch","3"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake whitefish vs black bass (SMB/LMB)","5"
"Factor Weighting: Fish Species in Spawning Reef Habitat","lake whitefish vs threatened and endangered species","0.142857142857143"
"Factor Weighting: Fish Species in Spawning Reef Habitat","ciscoes vs sculpins","3"
"Factor Weighting: Fish Species in Spawning Reef Habitat","ciscoes vs walleye","0.333333333333333"
"Factor Weighting: Fish Species in Spawning Reef Habitat","ciscoes vs yellow perch","0.2"
"Factor Weighting: Fish Species in Spawning Reef Habitat","ciscoes vs black bass (SMB/LMB)","0.333333333333333"
"Factor Weighting: Fish Species in Spawning Reef Habitat","ciscoes vs threatened and endangered species","0.111111111111111"
"Factor Weighting: Fish Species in Spawning Reef Habitat","sculpins vs walleye","0.142857142857143"
"Factor Weighting: Fish Species in Spawning Reef Habitat","sculpins vs yellow perch","0.2"
"Factor Weighting: Fish Species in Spawning Reef Habitat","sculpins vs black bass (SMB/LMB)","0.2"
"Factor Weighting: Fish Species in Spawning Reef Habitat","sculpins vs threatened and endangered species","0.111111111111111"
"Factor Weighting: Fish Species in Spawning Reef Habitat","walleye vs yellow perch","5"
"Factor Weighting: Fish Species in Spawning Reef Habitat","walleye vs black bass (SMB/LMB)","5"
"Factor Weighting: Fish Species in Spawning Reef Habitat","walleye vs threatened and endangered species","0.142857142857143"
"Factor Weighting: Fish Species in Spawning Reef Habitat","yellow perch vs black bass (SMB/LMB)","3"
"Factor Weighting: Fish Species in Spawning Reef Habitat","yellow perch vs threatened and endangered species","0.142857142857143"
"Factor Weighting: Fish Species in Spawning Reef Habitat","black bass (SMB/LMB) vs threatened and endangered species","0.142857142857143"
"Factor Weighting: Fish Species in Spawning Reef Habitat","Confidence (Factor Weighting: Fish Species in Spawning Reef Habitat)","75"
"Factor Weighting: Fish Species in Open Water Pelagic Habitat","lake trout vs prey/planktivore/forage fish (smelt, bloater, alewife)","0.142857142857143"
"Factor Weighting: Fish Species in Open Water Pelagic Habitat","lake trout vs ciscoes","0.333333333333333"
"Factor Weighting: Fish Species in Open Water Pelagic Habitat","lake trout vs trout and salmon","0.333333333333333"
"Factor Weighting: Fish Species in Open Water Pelagic Habitat","prey/planktivore/forage fish (smelt, bloater, alewife) vs ciscoes","5"
"Factor Weighting: Fish Species in Open Water Pelagic Habitat","prey/planktivore/forage fish (smelt, bloater, alewife) vs trout and salmon","7"
"Factor Weighting: Fish Species in Open Water Pelagic Habitat","ciscoes vs trout and salmon","0.333333333333333"
"Factor Weighting: Fish Species in Open Water Pelagic Habitat","Confidence (Factor Weighting: Fish Species in Open Water Pelagic Habitat)","90"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","1. wetlands and coastal habitats vs 2. phytoplankton","7"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","1. wetlands and coastal habitats vs 3. zooplankton","7"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","1. wetlands and coastal habitats vs 4. benthic community","7"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","1. wetlands and coastal habitats vs 5. reduce cyanobacteria","7"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","1. wetlands and coastal habitats vs 6. recreational use","5"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","1. wetlands and coastal habitats vs 7. surface water quality","3"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","2. phytoplankton vs 3. zooplankton","3"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","2. phytoplankton vs 4. benthic community","3"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","2. phytoplankton vs 5. reduce cyanobacteria","3"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","2. phytoplankton vs 6. recreational use","0.2"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","2. phytoplankton vs 7. surface water quality","0.333333333333333"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","3. zooplankton vs 4. benthic community","5"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","3. zooplankton vs 5. reduce cyanobacteria","5"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","3. zooplankton vs 6. recreational use","0.333333333333333"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","3. zooplankton vs 7. surface water quality","0.333333333333333"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","4. benthic community vs 5. reduce cyanobacteria","3"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","4. benthic community vs 6. recreational use","0.333333333333333"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","4. benthic community vs 7. surface water quality","0.333333333333333"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","5. reduce cyanobacteria vs 6. recreational use","0.333333333333333"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","5. reduce cyanobacteria vs 7. surface water quality","0.333333333333333"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","6. recreational use vs 7. surface water quality","3"
"Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat","Confidence (Factor Weighting: Ecosystem Benefits in Protected Embayment Habitat)","85"
"Factor Weighting: Ecosystem Benefits in Spawning Reef Habitats","1. wetlands and coastal habitats vs 4. benthic community","5"
"Factor Weighting: Ecosystem Benefits in Spawning Reef Habitats","1. wetlands and coastal habitats vs 8. Dioporeia recovery","5"
"Factor Weighting: Ecosystem Benefits in Spawning Reef Habitats","4. benthic community vs 8. Dioporeia recovery","5"
"Factor Weighting: Ecosystem Benefits in Spawning Reef Habitats","Confidence (Factor Weighting: Ecosystem Benefits in Spawning Reef Habitats)","80"
"Factor Weighting: Ecosystem Benefits in Open Water Pelagic Habitats","2. phytoplankton vs 3. zooplankton","3"
"Factor Weighting: Ecosystem Benefits in Open Water Pelagic Habitats","2. phytoplankton vs 5. reduce cyanobacteria","3"
"Factor Weighting: Ecosystem Benefits in Open Water Pelagic Habitats","3. zooplankton vs 5. reduce cyanobacteria","3"
"Factor Weighting: Ecosystem Benefits in Open Water Pelagic Habitats","Confidence (Factor Weighting: Ecosystem Benefits in Open Water Pelagic Habitats)","90"
"Factor Weighting: Nontarget Impacts","fish species vs benthic habitat","0.2"
"Factor Weighting: Nontarget Impacts","fish species vs water quality","0.142857142857143"
"Factor Weighting: Nontarget Impacts","fish species vs biodiversity","0.142857142857143"
"Factor Weighting: Nontarget Impacts","fish species vs threatened and endangered species","0.333333333333333"
"Factor Weighting: Nontarget Impacts","benthic habitat vs water quality","0.142857142857143"
"Factor Weighting: Nontarget Impacts","benthic habitat vs biodiversity","0.2"
"Factor Weighting: Nontarget Impacts","benthic habitat vs threatened and endangered species","3"
"Factor Weighting: Nontarget Impacts","water quality vs biodiversity","3"
"Factor Weighting: Nontarget Impacts","water quality vs threatened and endangered species","5"
"Factor Weighting: Nontarget Impacts","biodiversity vs threatened and endangered species","5"
"Factor Weighting: Nontarget Impacts","Confidence (Factor Weighting: Nontarget Impacts)","70"
"Factor Weighting: Benefits to Fish v.s. Benefits to Ecosystem","The control tool enhances ecosystem and water quality objectives. vs The control tool enhances priority fish taxa.","7"
"Factor Weighting: Benefits to Fish v.s. Benefits to Ecosystem","Confidence (Factor Weighting: Benefits to Fish v.s. Benefits to Ecosystem)","90"
