"panel","item","value"
"Factor Weighting: Ecosystem Benefits in Open Water Pelagic Habitats","2. phytoplankton vs 3. zooplankton","1"
"Factor Weighting: Ecosystem Benefits in Open Water Pelagic Habitats","2. phytoplankton vs 5. reduce cyanobacteria","5"
"Factor Weighting: Ecosystem Benefits in Open Water Pelagic Habitats","3. zooplankton vs 5. reduce cyanobacteria","5"
"Factor Weighting: Ecosystem Benefits in Open Water Pelagic Habitats","Confidence (Factor Weighting: Ecosystem Benefits in Open Water Pelagic Habitats)","75"
"Factor Weighting: Nontarget Impacts","fish species vs benthic habitat","3"
"Factor Weighting: Nontarget Impacts","fish species vs water quality","0.2"
"Factor Weighting: Nontarget Impacts","fish species vs biodiversity","0.333333333333333"
"Factor Weighting: Nontarget Impacts","fish species vs threatened and endangered species","0.2"
"Factor Weighting: Nontarget Impacts","benthic habitat vs water quality","1"
"Factor Weighting: Nontarget Impacts","benthic habitat vs biodiversity","1"
"Factor Weighting: Nontarget Impacts","benthic habitat vs threatened and endangered species","1"
"Factor Weighting: Nontarget Impacts","water quality vs biodiversity","1"
"Factor Weighting: Nontarget Impacts","water quality vs threatened and endangered species","1"
"Factor Weighting: Nontarget Impacts","biodiversity vs threatened and endangered species","1"
"Factor Weighting: Nontarget Impacts","Confidence (Factor Weighting: Nontarget Impacts)","75"
"Factor Weighting: Benefits to Fish v.s. Benefits to Ecosystem","The control tool enhances ecosystem and water quality objectives. vs The control tool enhances priority fish taxa.","5"
"Factor Weighting: Benefits to Fish v.s. Benefits to Ecosystem","Confidence (Factor Weighting: Benefits to Fish v.s. Benefits to Ecosystem)","75"
